Height: 152, TxCount: 30, E2E_TPS: 6.47, Pure_TPS: 4.20, Submit_TPS: 142.28, TotalTxs: 30, TotalBlocks: 153
Height: 153, TxCount: 0, E2E_TPS: 6.43, Pure_TPS: 4.18, Submit_TPS: 154.24, TotalTxs: 30, TotalBlocks: 154
Height: 154, TxCount: 0, E2E_TPS: 6.34, Pure_TPS: 4.14, Submit_TPS: 152.05, TotalTxs: 30, TotalBlocks: 155
Height: 155, TxCount: 0, E2E_TPS: 6.29, Pure_TPS: 4.12, Submit_TPS: 150.97, TotalTxs: 30, TotalBlocks: 156
Height: 156, TxCount: 0, E2E_TPS: 6.20, Pure_TPS: 4.08, Submit_TPS: 148.75, TotalTxs: 30, TotalBlocks: 157
Height: 157, TxCount: 0, E2E_TPS: 6.15, Pure_TPS: 4.06, Submit_TPS: 147.53, TotalTxs: 30, TotalBlocks: 158
Height: 158, TxCount: 0, E2E_TPS: 6.05, Pure_TPS: 4.02, Submit_TPS: 145.27, TotalTxs: 30, TotalBlocks: 159
Height: 159, TxCount: 30, E2E_TPS: 11.99, Pure_TPS: 7.99, Submit_TPS: 143.87, TotalTxs: 60, TotalBlocks: 160
Height: 160, TxCount: 0, E2E_TPS: 11.88, Pure_TPS: 7.94, Submit_TPS: 142.61, TotalTxs: 60, TotalBlocks: 161
Height: 161, TxCount: 0, E2E_TPS: 11.81, Pure_TPS: 7.91, Submit_TPS: 153.52, TotalTxs: 60, TotalBlocks: 162
Height: 162, TxCount: 30, E2E_TPS: 17.37, Pure_TPS: 11.71, Submit_TPS: 150.52, TotalTxs: 90, TotalBlocks: 163
Height: 163, TxCount: 0, E2E_TPS: 17.01, Pure_TPS: 11.54, Submit_TPS: 147.40, TotalTxs: 90, TotalBlocks: 164
Height: 164, TxCount: 0, E2E_TPS: 16.89, Pure_TPS: 11.49, Submit_TPS: 146.41, TotalTxs: 90, TotalBlocks: 165
Height: 165, TxCount: 30, E2E_TPS: 22.38, Pure_TPS: 15.25, Submit_TPS: 145.46, TotalTxs: 120, TotalBlocks: 166
Height: 166, TxCount: 0, E2E_TPS: 22.00, Pure_TPS: 15.08, Submit_TPS: 143.01, TotalTxs: 120, TotalBlocks: 167
Height: 167, TxCount: 0, E2E_TPS: 21.86, Pure_TPS: 15.01, Submit_TPS: 142.06, TotalTxs: 120, TotalBlocks: 168
Height: 168, TxCount: 0, E2E_TPS: 21.35, Pure_TPS: 14.77, Submit_TPS: 149.47, TotalTxs: 120, TotalBlocks: 169
Height: 169, TxCount: 0, E2E_TPS: 21.12, Pure_TPS: 14.66, Submit_TPS: 147.83, TotalTxs: 120, TotalBlocks: 170
Height: 170, TxCount: 0, E2E_TPS: 20.68, Pure_TPS: 14.44, Submit_TPS: 144.77, TotalTxs: 120, TotalBlocks: 171
Height: 171, TxCount: 0, E2E_TPS: 20.33, Pure_TPS: 14.27, Submit_TPS: 142.34, TotalTxs: 120, TotalBlocks: 172
Height: 172, TxCount: 30, E2E_TPS: 25.36, Pure_TPS: 17.81, Submit_TPS: 142.02, TotalTxs: 150, TotalBlocks: 173
Height: 173, TxCount: 0, E2E_TPS: 25.31, Pure_TPS: 17.79, Submit_TPS: 141.71, TotalTxs: 150, TotalBlocks: 174
Height: 174, TxCount: 0, E2E_TPS: 25.18, Pure_TPS: 17.73, Submit_TPS: 151.10, TotalTxs: 150, TotalBlocks: 175
Height: 175, TxCount: 0, E2E_TPS: 25.12, Pure_TPS: 17.70, Submit_TPS: 150.72, TotalTxs: 150, TotalBlocks: 176
Height: 176, TxCount: 0, E2E_TPS: 25.02, Pure_TPS: 17.65, Submit_TPS: 150.12, TotalTxs: 150, TotalBlocks: 177
Height: 177, TxCount: 0, E2E_TPS: 24.90, Pure_TPS: 17.59, Submit_TPS: 149.42, TotalTxs: 150, TotalBlocks: 178
